OBJECTID,LONGITUDE,LATITUDE,COUNTRY,NAME,NAME2,N_TURBINES,POWER_MW,STATUS,YEAR,COAST_DIST_M,NOTES,
199,17.09,40.38,Italy,Golfo di Taranto,Golfo di Taranto,,1500,Planned,,9004.045827, ,
200,15.14,35.75,Italy,Gulf of Gela,Gulf of Gela,,384,Planned,,52516.10548, ,
201,12.12,37.54,Italy,Hannibal,Hannibal,,250,Planned,,36131.27854, ,
202,16.88,42.09,Italy,Hope Group Manfredonia,Hope Group Manfredonia,,945,Planned,,54800.29771, ,
203,12.44,37.41,Italy,HyMed,HyMed,,3200,Planned,,26186.88164, ,
204,12.06,37.8,Italy,Ichnusa,Ichnusa,42,504,Planned,,16188.385, ,
205,16.9,39.98,Italy,Ionio,Ionio,28,420,Planned,,23296.56369, ,
206,18.46,40.51,Italy,Iron Solar,Iron Solar,,525,Planned,,18609.38934, ,
207,18.02,40.69,Italy,Kailia Energia,Kailia Energia,,1176,Planned,,3618.608129, ,
208,17.16,39.09,Italy,Krimisa,Krimisa,,1100,Planned,,2180.515025, ,
209,18.46,40.51,Italy,Lupiae Maris,Lupiae Maris,,525,Planned,,18609.38934, ,
210,13.12,43.93,Italy,Marche 1,Marche 1,,500,Planned,,11592.56203, ,
211,16.37,41.64,Italy,Maxima Energia - 1,Maxima Energia - 1,,1140,Planned,,21153.47173, ,
212,16.37,41.6,Italy,Maxima Energia - 2,Maxima Energia - 2,,1140,Planned,,24282.756, ,
213,11.73,37.46,Italy,Mazara del Vallo Offshore,Mazara del Vallo Offshore,,1110,Planned,,61559.83612, ,
214,12.55,37.05,Italy,Mazara del Vallo Offshore 2,Mazara del Vallo Offshore 2,,795,Planned,,52717.97597, ,
215,11.98,37.22,Italy,Mazara del Vallo Offshore 3,Mazara del Vallo Offshore 3,,810,Planned,,41945.30091, ,
216,12.08,37.34,Italy,MDV - Mazara del Vallo,MDV - Mazara del Vallo,,504,Planned,,52663.39862, ,
217,19.44,39.67,Italy,Medio Adriatico,Medio Adriatico,,800,Planned,,10491.78483, ,
218,11.43,37.93,Italy,MedWind,MedWind,,2793,Planned,,53379.39877, ,
219,18.75,40.3,Italy,Messapia,Messapia,,1300,Planned,,25833.0483, ,
220,16.96,38.76,Italy,Minervia Energia,Minervia Energia,,675,Planned,,17026.7404, ,
221,11.48,42.26,Italy,MoDiCa,MoDiCa,,510,Planned,,10693.75693, ,
222,16.55,41.39,Italy,MoDiCa 2,MoDiCa 2,,510,Planned,,15865.12128, ,
223,7.78,39.11,Italy,Molise,Molise,,1800,Planned,,38517.32241, ,
224,19.36,39.06,Italy,Monopoli,Monopoli,,600,Planned,,61588.38379, ,
225,16.6,41.8,Italy,NEREUS Offshore,NEREUS Offshore,,2205,Planned,,33274.74452, ,
226,9.12,39.02,Italy,Nora Energia 1,Nora Energia 1,,795,Planned,,7329.507789, ,
227,9.67,39.01,Italy,Nora Energia 2,Nora Energia 2,,600,Planned,,13809.48218, ,
228,10.29,41.09,Italy,Northwestern Tyrrhenian Sea,Northwestern Tyrrhenian Sea,,1008,Planned,,49323.92702, ,
229,9.07,38.72,Italy,Nuovo Porto Pino,Nuovo Porto Pino,,705,Planned,,25062.27805, ,
230,9.86,41.21,Italy,Nurax,Nurax,,462,Planned,,25406.04421, ,
231,18.57,39.79,Italy,Odra Energia,Odra Energia,,1350,Planned,,15724.14329, ,
232,12.31,38.07,Italy,Ostro,Ostro,,600,Planned,,5855.157376, ,
233,10.29,41.09,Italy,Poseidon,Poseidon,72,1008,Planned,,49323.92702, ,
234,15.14,36.26,Italy,Pozzallo Offshore,Pozzallo Offshore,,800,Planned,,42634.09371, ,
235,18.81,39.68,Italy,Puglia 1,Puglia 1,60,900,Planned,,39065.0932, ,
236,16.66,41.28,Italy,Puglia A,Puglia A,,1005,Planned,,9489.889017, ,
237,16.69,41.25,Italy,Puglia B,Puglia B,,930,Planned,,6708.387967, ,
238,15.34,37.08,Italy,Ragusa Offshore,Ragusa Offshore,,945,Planned,,3472.920119, ,
239,17.53,38.4,Italy,Repower FOWT Scandale,Repower FOWT Scandale,,495,Planned,,66153.92079, ,
240,17.51,38.39,Italy,Repower FOWT Sicilia,Repower FOWT Sicilia,,495,Planned,,66091.51578, ,
241,12.78,44.12,Italy,Rimini,Rimini,,330,Planned,,15825.35907, ,
242,12.97,44.44,Italy,Romagna 3,Romagna 3,,320,Planned,,51069.45614, ,
243,7.99,38.96,Italy,San Pietro Nord,San Pietro Nord,,510,Planned,,27849.20567, ,
244,9.09,38.91,Italy,San Pietro Sud,San Pietro Sud,,504,Planned,,10167.5753, ,
245,18.82,39.65,Italy,Santa Maria di Leuca,Santa Maria di Leuca,,675,Planned,,41216.70448, ,
246,7.92,40.18,Italy,Sardegna,Sardegna,,480,Planned,,38609.67517, ,
247,8.8,38.74,Italy,Sardegna 1,Sardegna 1,,550,Planned,,15460.48741, ,
248,8.55,38.74,Italy,Sardegna 2,Sardegna 2,,825,Planned,,15901.06538, ,
249,9.96,41.21,Italy,Sardinia Northeast - AvenHexicon,Sardinia Northeast - AvenHexicon,,2150,Planned,,32746.45011, ,
250,7.84,40.49,Italy,Sardinia Northwest - AvenHexicon,Sardinia Northwest - AvenHexicon,,1350,Planned,,27874.84539, ,
251,8.5,38.53,Italy,Sardinia South 1,Sardinia South 1,,1600,Planned,,37227.76915, ,
252,8.76,38.55,Italy,Sardinia South 2,Sardinia South 2,,750,Planned,,36138.44531, ,
253,14.56,36.43,Italy,Scicli,Scicli,,750,Planned,,34193.70151, ,
254,11.46,42.15,Italy,Seabass,Seabass,,810,Planned,,21172.86981, ,
